,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
86,"Tennessee Colony, Texas","Tennessee Colony, Texas",11/15/2015,private campsite,Open,random,,6,0,6,0,,,,Unknown,White American or European American,Male,31.8076,-95.8069
87,"Jacksonville, Florida","Jacksonville, Florida",11/13/2015,Home,Close,Family,domestic dispute,4,1,4,0,,,former military,Unknown,Black American or African American,Male,30.33216122,-81.67576993
88,"Waycross, GA","Waycross, Georgia",11/7/2015,,,Family,psycho,1,2,3,0,,,,Yes,Black American or African American,Male,31.21094544,-82.35793452
89,"Oakland, Maine","Oakland, Maine",11/4/2015,Home,Close,Family,domestic dispute,4,0,3,0,,,,Unknown,Unknown,Male,44.54994725,-69.70782299
90,Colorado Springs,"Colorado Springs, Colorado",10/31/2015,sidewalk,Open,random,terrorism,4,0,3,0,,,,Unknown,White American or European American,Male,38.86730659,-104.7572279
91,"Colerain Township, Ohio","Colerain Township, Ohio",10/21/2015,Colerain Township,,Family,,2,1,3,0,,,,Unknown,White American or European American,Male,39.253268,-84.599655
92,Northern Arizona University at Flagstaff Campus,"Flagstaff, Arizona",10/9/2015,Northern Arizona University,Open,Students,anger,1,3,4,0,,,,Unknown,White American or European American,Male,35.1725658,-111.6585435
93,Umpqua Community College,"Roseburg, Oregon",10/5/2015,Community College Classroom (changed from 10/1),Close,Students,terrorism,10,7,16,0,,,,Unknown,Two or more races,Male,43.22205555,-123.3522367
94,"Inglis, Florida","Inglis, Florida",10/1/2015,,Open,Ex-Wife,anger,3,1,3,0,57,,,Unknown,White American or European American,Male,29.03270634,-82.65919302
95,Hill Haven Event Center (Formerly Club CJ's),"Greenville, Georgia",9/27/2015,Club,Close,random,,0,10,10,0,,,,Unknown,Black American or African American,Male,33.02912644,-84.7143335
96,"Platte, South Dakota","Platte, South Dakota",9/17/2015,Home,Close,Family,,6,0,5,0,,,,Unknown,White American or European American,Male,43.38682722,-98.84357239
97,"Clearbrook (Greenwood), Minnesota","Clearbrook (Greenwood), Minnesota",9/10/2015,Home,Close,random,,5,0,4,0,,1,,Yes,White American or European American,Male,47.69618799,-95.42844094
98,"Bristol, Tennessee","Bristol, Tennessee",8/29/2015,,,Family,psycho,3,1,4,0,,,,Unknown,White American or European American,Male,36.55605824,-82.21429551
99,Virginia WDBJ live TV interview shooting,"Roanoke, Virginia",8/26/2015,Outdoor Shopping Mall,Open,Coworkers,psycho,3,1,3,0,,1,Virginia TV,Unknown,Black American or African American,Male,37.27823366,-79.95816104
100,Parking lot near Boys and Girls Club,"Rochester, New York",8/19/2015,Genesee Street,Open,random,,3,4,7,0,,,,Unknown,Black American or African American,Male,43.1696837,-77.614337
101,"Houston, Texas","Houston, Texas",8/8/2015,Home,Close,Ex-Girlfriend,revenge,8,0,8,0,,,,Unknown,Black American or African American,Male,29.79705548,-95.36763856
